congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2
117,President,99913,99,0,USA,100,0,0,"BIDEN, Joseph Robinette, Jr.",B000444,1942.0,,,,,,,,,,
117,House,20301,41,3,AL,200,,,"ROGERS, Mike Dennis",R000575,1958.0,,0.357,0.46,-11.50924,0.90781,119,4,,0.507,0.16
117,House,21102,41,7,AL,100,,,"SEWELL, Terri",S001185,1965.0,,-0.392,0.401,-3.24655,0.9724,116,2,,-0.552,-0.237
117,House,21193,41,5,AL,200,,,"BROOKS, Mo",B001274,1954.0,,0.65,-0.439,-12.82295,0.89449,115,6,,0.728,-0.321
117,House,21500,41,6,AL,200,,,"PALMER, Gary James",P000609,1954.0,,0.703,-0.019,-10.0556,0.91897,119,6,,0.6,0.146
117,House,22108,41,1,AL,200,,,"CARL, Jerry L.",C001054,1958.0,,0.538,0.407,-7.52437,0.93873,119,3,,0.585,0.358
117,House,22140,41,2,AL,200,,,"MOORE, Barry",M001212,1966.0,,0.683,-0.053,-10.43998,0.91601,119,6,,0.682,-0.055
117,House,29701,41,4,AL,200,,,"ADERHOLT, Robert",A000055,1965.0,,0.371,0.587,-19.64661,0.84542,117,5,,0.635,0.228
117,House,14066,81,1,AK,200,,,"YOUNG, Donald Edwin",Y000033,1933.0,,0.284,0.021,-19.61644,0.81344,95,7,,0.359,-0.303
117,House,20305,61,3,AZ,100,,,"GRIJALVA, Raúl M.",G000551,1948.0,,-0.599,-0.255,-0.70255,0.99411,119,0,,-0.552,-0.235
117,House,20902,61,2,AZ,100,,,"KIRKPATRICK, Ann",K000368,1950.0,,-0.165,-0.007,-6.20774,0.94917,119,3,,-0.552,-0.235
117,House,21103,61,4,AZ,200,,,"GOSAR, Paul",G000565,1958.0,,0.679,-0.422,-11.61866,0.9039,115,6,,0.704,-0.411
117,House,21105,61,6,AZ,200,,,"SCHWEIKERT, David",S001183,1962.0,,0.586,-0.314,-14.32672,0.88657,119,8,,0.514,0.154
117,House,21502,61,7,AZ,100,,,"GALLEGO, Ruben",G000574,1979.0,,-0.449,-0.013,-0.6254,0.99462,116,0,,-0.456,-0.25
117,House,21705,61,5,AZ,200,,,"BIGGS, Andrew S.",B001302,1958.0,,0.883,-0.469,-9.82205,0.92078,119,5,,0.793,-0.609
117,House,21739,61,1,AZ,100,,,"O'HALLERAN, Thomas C.",O000171,1946.0,,-0.19,0.149,-2.26801,0.98096,118,1,,-0.3,0.098
117,House,21757,61,8,AZ,200,,,"LESKO, Debbie",L000589,1958.0,,0.6,-0.027,-14.08276,0.8875,118,5,,0.574,-0.108
117,House,21968,61,9,AZ,100,,,"STANTON, Greg",S001211,1970.0,,-0.313,-0.051,-1.27715,0.98933,119,0,,-0.29,-0.247
117,House,21106,42,1,AR,200,,,"CRAWFORD, Rick",C001087,1966.0,,0.418,0.496,-12.78715,0.8973,118,5,,0.638,0.591
117,House,21108,42,3,AR,200,,,"WOMACK, Steve",W000809,1957.0,,0.356,0.579,-7.52202,0.93875,119,4,,0.332,0.48
117,House,21503,42,2,AR,200,,,"HILL, French",H001072,1956.0,,0.451,0.231,-6.48364,0.94654,118,4,,0.444,0.18
117,House,21563,42,4,AR,200,,,"WESTERMAN, Bruce Eugene",W000821,1967.0,,0.549,0.308,-9.98683,0.91751,116,4,,0.477,0.055
117,House,15448,71,12,CA,100,,,"PELOSI, Nancy",P000197,1940.0,,-0.49,-0.206,-0.00265,0.99988,22,0,,-0.477,-0.043
117,House,20104,71,28,CA,100,,,"SCHIFF, Adam",S001150,1960.0,,-0.349,-0.129,-1.5652,0.98693,119,1,,-0.552,-0.235
117,House,20107,71,50,CA,200,,,"ISSA, Darrell",I000056,1953.0,,0.504,-0.081,-12.99004,0.89659,119,4,,0.311,0.766
117,House,20307,71,22,CA,200,,,"NUNES, Devin",N000181,1973.0,,0.45,0.216,-7.76638,0.93301,112,4,,0.431,0.902
117,House,20310,71,38,CA,100,,,"SÁNCHEZ, Linda T.",S001156,1969.0,,-0.508,-0.136,-1.82486,0.98465,118,1,,-0.612,0.239
117,House,20501,71,16,CA,100,,,"COSTA, Jim",C001059,1952.0,,-0.192,0.463,-3.1069,0.97311,114,1,,-0.28,0.188
117,House,20538,71,6,CA,100,,,"MATSUI, Doris",M001163,1944.0,,-0.434,-0.161,-1.85125,0.98361,112,1,,-0.648,0.29
117,House,20702,71,9,CA,100,,,"McNERNEY, Jerry",M001166,1951.0,,-0.262,-0.152,-2.61183,0.97829,119,2,,-0.612,0.239
117,House,20703,71,23,CA,200,,,"MCCARTHY, Kevin",M001165,1965.0,,0.458,0.217,-3.948,0.9671,118,0,,0.448,0.664
117,House,20762,71,14,CA,100,,,"SPEIER, Karen Lorraine Jacqueline (Jackie)",S001175,1950.0,,-0.38,-0.44,-1.85107,0.98417,116,1,,-0.289,-0.25
117,House,20903,71,4,CA,200,,,"McCLINTOCK, Tom",M001177,1956.0,,0.717,-0.472,-18.86688,0.85107,117,9,,0.67,-0.419
117,House,20955,71,27,CA,100,,,"CHU, Judy",C001080,1953.0,,-0.487,-0.377,-0.70509,0.99399,117,0,,-0.552,-0.236
117,House,20958,71,3,CA,100,,,"GARAMENDI, John",G000559,1945.0,,-0.309,-0.091,-3.09325,0.97434,119,2,,-0.262,0.286
117,House,21110,71,37,CA,100,,,"BASS, Karen",B001270,1953.0,,-0.585,-0.106,-0.69605,0.99407,117,0,,-0.552,-0.236
117,House,21302,71,1,CA,200,,,"LaMALFA, Doug",L000578,1960.0,,0.531,0.092,-8.87103,0.92385,112,3,,0.494,0.869
